NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
St. Bernadette,The Calgary Roman Catholic Separate School Division,Separate School,St. Bernadette School,55 Lynndale Crescent S.E.,Calgary,AB,Elementary,N,Provincial Data,8709,N,Y,N,N,2/28/2021,T2C0T8,1541842,-114.0091978,50.99039088,"(50.990390881488004, -114.00919782029995)"
Fairview,The Calgary School Division,Public School,Fairview School,7840 Fairmount Drive S.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9633,N,Y,Y,N,2/28/2021,T2H0Y1,1382900,-114.05945,50.98398556,"(50.983985560089515, -114.05945001776159)"
Le Roi Daniels,The Calgary School Division,Public School,Le Roi Daniels School,47 Fyffe Road S.E.,Calgary,AB,Elementary,N,Provincial Data,9320,N,Y,N,N,2/28/2021,T2H1B9,1382901,-114.0579556,50.98385836,"(50.983858361503565, -114.05795555640731)"
Woodlands,The Calgary School Division,Public School,Woodlands School,88 Woodgreen Drive S.W.,Calgary,AB,Elementary,N,Provincial Data,9371,N,Y,N,N,2/28/2021,T2W4W9,1382584,-114.1069696,50.93893519,"(50.93893519258322, -114.10696961770047)"
Rundle College Senior High,Rundle College Society,Private School,Rundle College Senior High School,7375 - 17 Avenue SW,Calgary,AB,Senior High,N,Provincial Data,9952,N,N,N,Y,2/28/2021,T3H3W5,1382816,-114.1939221,51.03689411,"(51.036894107397956, -114.19392208231754)"
St. Monica,The Calgary Roman Catholic Separate School Division,Separate School,St. Monica School,235 - 18 Avenue S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8530,N,Y,Y,N,2/28/2021,T2S0C2,1382532,-114.0678144,51.03676979,"(51.036769787972446, -114.06781436403641)"
Mount Royal University - Holy Cross Campus,,Post Secondary,,,Calgary,AB,,Y,Post Secondary Data,,N,N,N,N,2/28/2021,T2S3C3,1557837,-114.0670812,51.03243349,"(51.032433490966454, -114.06708119390154)"
Valley Creek,The Calgary School Division,Public School,Valley Creek School,10951 Hidden Valley Dr NW,Calgary,AB,Elementary/Junior High,N,Provincial Data,1098,N,Y,Y,N,2/28/2021,T3A6J2,1524240,-114.1166729,51.15023383,"(51.15023383387541, -114.11667287049605)"
James Fowler High,The Calgary School Division,Public School,James Fowler High School,4004 - 4 Street N.W.,Calgary,AB,Senior High,N,Provincial Data,9825,N,N,N,Y,2/28/2021,T2K1A1,1383037,-114.0705163,51.08653215,"(51.08653214680896, -114.07051630306398)"
Christ the King Catholic,The Calgary Roman Catholic Separate School Division,Separate School,Christ the King Catholic School,333 Cranston Way SE,Calgary,AB,Elementary/Junior High,N,Provincial Data,1484,N,Y,Y,N,2/28/2021,T3M1K6,1382185,-113.9759703,50.88783692,"(50.887836920058064, -113.97597027648685)"
Our Lady of Peace Elementary Junior High,The Calgary Roman Catholic Separate School Division,Separate School,Our Lady of Peace Elementary Junior High School,14826 Millrise Hill S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8732,N,Y,Y,N,2/28/2021,T2Y2B4,1382578,-114.0877102,50.91848506,"(50.91848505964268, -114.08771017487246)"
William D. Pratt,The Calgary School Division,Public School,William D. Pratt School,9850 Royal Oak Drive Nw,Calgary,AB,Elementary/Junior High,N,Provincial Data,2067,N,Y,Y,N,2/28/2021,T3G0A4,2357882,-114.2240926,51.14936065,"(51.14936065327492, -114.22409259134834)"
Sir Wilfrid Laurier,The Calgary School Division,Public School,Sir Wilfrid Laurier School,819 - 32 Street S.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9648,N,Y,Y,N,2/28/2021,T2A0Y9,1382134,-113.9893061,51.04573477,"(51.045734772451205, -113.98930608729215)"
